,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCW 976E,8/22/2021,20209,0-40, 19.84 
2,KCW 976E,8/22/2021,20246,0-40, 19.40 
3,KCP 026Z,8/22/2021,20230,0-40, 15.74 
4,KCW 976E,8/23/2021,20424,0-40, 20.92 
5,KCW 976E,8/23/2021,20353,0-3, 17.58 
6,KCW 976E,8/23/2021,20403,0-40, 19.24 
7,KCW 976E,8/23/2021,20381,0-3, 19.14 
8,KCP 026Z,8/25/2021,20812,3-10, 16.96 
9,KCP 026Z,8/23/2021,20271,0-40, 18.14 
10,KCP 026Z,8/23/2021,20362,0-3, 16.84 
11,KCP 026Z,8/23/2021,20427,0-40, 19.34 
12,KCP 026Z,8/23/2021,20402,0-40, 16.12 
13,KCP 026Z,8/23/2021,20307,3-10, 17.72 
14,KCP 026Z,8/23/2021,20352,0-3, 14.02 
15,KCP 026Z,8/24/2021,20699,0-40, 17.04 
16,KCW 976E,8/25/2021,20641,3-10, 17.14 
17,KCW 976E,8/25/2021,20666,3-10, 18.00 
18,KCW 976E,8/25/2021,20841,3-10, 18.98 
19,KCP 026Z,8/25/2021,21085,0-5, 18.16 
20,KCP 026Z,8/25/2021,21128,0-40, 16.70 
21,KCP 026Z,8/26/2021,21109,0-5, 17.20 
22,KCP 026Z,8/26/2021,21042,3-10, 15.34 
23,KCW 976E,8/26/2021,21052,3-10, 18.96 
24,KCW 976E,8/26/2021,21110,0-5, 20.76 
25,KCW 976E,8/26/2021,21087,0-5, 20.20 
26,KCW 976E,8/26/2021,21127,0-40, 21.74 
27,KCW 976E,8/27/2021,21333,0-40, 19.84 
28,KCW 976E,8/27/2021,21860,0-40, 20.08 
29,KDC 005L,,21582,0-6, 25.40 
30,KCP 026Z,8/28/2021,21561,0-6, 18.86 
31,KCP 026Z,8/28/2021,21484,3-10, 16.70 
32,KCA 398J,8/29/2021,21846,10-14, 32.44 
33,KDC 005L,8/29/2021,21847,10-14, 27.16 
34,KCP 026Z,8/29/2021,21872,14-20, 17.12 
35,KCP 026Z,8/29/2021,21787,0-6, 19.74 
36,KCP 026Z,8/29/2021,21771,0-6, 18.50 
37,KCP 026Z,8/29/2021,21755,0-6, 17.26 
38,KCP 026Z,8/29/2021,21721,0-5, 17.12 
39,KCW 976E,8/29/2021,21655,10-14, 20.02 
40,KCW 976E,8/30/2021,21680,14-20, 21.26 
41,KCW 976E,8/30/2021,21943,3-10, 20.68 
42,KCW 976E,8/30/2021,21926,3-10, 18.04 
43,KCA 398J,8/30/2021,21902,14-20, 35.64 
44,KCP 026Z,8/30/2021,21901,3-10, 17.62 
45,KDC 005L,8/30/2021,21912,3-10, 25.88 
46,KDC 005L,8/30/2021,21892,14-20, 32.86 
47,KCW 976E,8/31/2021,22165,3-10, 18.44 
48,KCW 976E,8/31/2021,22146,3-10, 18.78 
49,KCW 976E,8/31/2021,22126,3-10, 19.34 
50,KCW 976E,8/30/2021,22109,3-10, 18.46 
51,KCW 976E,8/30/2021,22071,3-10, 18.38 
52,KDC 005L,8/31/2021,22140,3-10, 36.54 
53,KDC 005L,8/30/2021,22114,3-10, 32.16 
54,KCE 343Y,8/30/2021,22107,3-10, 43.26 
55,KCE 343Y,8/31/2021,22138,3-10, 49.20 
56,KCH 432T,8/31/2021,22154,3-10, 33.38 
57,KCH 432T,8/31/2021,22135,3-10, 43.82 
58,KCH 432T,8/30/2021,22094,3-10, 46.18 
59,KCP 026Z,8/31/2021,22125,3-10, 17.94 
60,KCP 026Z,8/31/2021,22147,3-10, 17.60 
61,KCP 026Z,8/31/2021,22173,3-10, 17.54 
62,KDC 005L,8/25/2021,20784,3-10, 30.56 
63,KDB 072T,8/31/2021,22376,0-40, 24.62 
64,KDB 072T,8/31/2021,22354,0-40, 22.92 
65,KDB 072T,8/1/2021,22412,0-40, 20.32 
66,KDC 255G,8/30/2021,22013,0-6, 17.90 
67,KDC 255G,8/30/2021,21991,0-6, 17.20 
68,KDC 255G,8/30/2021,22052,0-6, 22.22 
69,KDC 255G,8/30/2021,22075,0-6, 22.84 
70,KDC 255G,8/30/2021,22095,3-10, 19.68 
71,KDB 204L,8/31/2021,22161,0-6, 24.70 
72,KDB 204L,8/31/2021,22204,0-6, 24.70 
73,KDB 204L,8/31/2021,22233,0-6, 24.80 
74,KDB 204L,8/31/2021,22267,0-6, 25.30 
75,KDB 204L,8/31/2021,22303,0-6, 22.20 
76,KDB 072T,8/31/2021,22279,0-6, 22.90 
77,KDB 072T,8/31/2021,22250,0-6, 23.10 
78,KDB 072T,8/31/2021,22230,0-3, 23.10 
79,KDB 072T,8/31/2021,22203,0-6, 23.96 
80,KDC 255G,8/31/2021,22341,0-40, 22.54 
81,KDC 255G,8/31/2021,22223,0-6, 21.24 
82,KDC 255G,8/31/2021,22312,0-6, 20.30 
83,KDC 255G,8/31/2021,22293,0-6, 19.00 
84,KDC 255G,8/31/2021,22265,0-6, 18.74 
85,KDC 255G,8/31/2021,22249,0-6, 18.90 
86,KDC 255G,8/31/2021,22197,0-6, 16.12 
87,KDC 255G,8/31/2021,22176,0-6, 21.16 
88,KDB 072T,9/1/2021,22396,0-40, 20.36 
