,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBQ 469P,8/12/2021,18207,10-14, 17.70 
2,KBQ 469P,8/12/2021,18217,10-14, 17.64 
3,KBQ 469P,8/12/2021,18117,0-3, 20.62 
4,KBQ 469P,8/12/2021,18186,10-14, 17.26 
5,KBQ 469P,8/12/2021,18153,10-14, 17.32 
6,KBQ 469P,8/12/2021,18030,0-40, 16.94 
7,KBC 577M,8/11/2021,18055,14-20, 16.18 
8,KBC 577M,8/11/2021,17964,0-40, 17.76 
9,KBC 577M,8/11/2021,17925,0-40, 15.48 
10,KDB 204L,8/12/2021,18201,10-14, 23.26 
11,KDB 204L,8/12/2021,18174,10-14, 23.88 
12,KDB 204L,8/12/2021,18151,10-14, 24.26 
13,KDB 204L,8/12/2021,18097,0-3, 23.68 
14,KDB 204L,8/12/2021,18126,10-14, 23.16 
15,KBP 188C,8/12/2021,18144,10-14, 30.12 
16,KBP 188C,8/11/2021,18025,0-40, 31.30 
17,KBP 188C,8/11/2021,17974,14-20, 29.18 
18,KBP 188C,8/11/2021,17921,14-20, 32.56 
19,KDB 153Q,8/11/2021,17926,0-40, 16.90 
20,KDB 153Q,8/11/2021,17893,0-40, 18.10 
21,KDB 153Q,8/11/2021,17973,0-40, 17.42 
22,KAT 901C,8/12/2021,18127,10-14, 19.26 
23,KAT 901C,8/12/2021,18152,10-14, 18.96 
24,KAT 901C,8/12/2012,18176,10-14, 18.70 
25,KAT 901C,8/12/2021,18212,10-14, 20.36 
26,KAT 901C,8/12/2021,18199,10-14, 18.30 
27,KBP 188C,8/12/2021,18185,10-14, 33.84 
28,KDB 072T,8/12/2021,18231,14-20, 21.92 
29,KDB 072T,8/13/2021,18261,5-10, 21.48 
30,KDB 072T,8/13/2021,18246,5-10, 20.70 
31,KDB 072T,8/13/2021,18239,14-20, 22.96 
32,KDB 204L,8/13/2021,18251,5=10, 21.14 
33,KDB 204L,8/13/2021,18260,5=10, 20.74 
34,KDB 204L,8/13/2021,18242,14-20, 23.88 
35,KDB 204L,8/12/2021,18232,14=20, 24.36 
36,KDB 204L,8/12/2021,18193,10=14, 20.36 
37,KDB 072T,8/12/2021,18169,10=14, 22.38 
38,KDB 072T,8/12/2021,19149,10=14, 21.04 
39,KDB 072T,8/12/2021,18129,10=14, 22.54 
40,KDB 072T,8/12/2021,18088,0=3, 19.68 
41,KDB 204L,8/12/2021,18222,14=20, 23.46 
42,KDB 072T,8/12/2021,18223,14=20, 21.56 
43,KBR 280S,8/12/2021,18206,10=14, 19.38 
44,KBR 280S,8/12/2021,18192,10=14, 19.98 
45,KBR 280S,8/12/2021,18105,0-3, 19.40 
46,KBR 280S,8/12/2021,18168,10=14, 20.01 
47,KBR 280S,8/12/2021,18125,10=14, 20.60 
48,KBR 280S,8/12/2021,18145,10-14, 20.02 
49,KCY 318N,12-08021,18095,0-3, 19.06 
50,KCY 318N,8/12/2021,18187,10=14, 19.66 
51,KCY 318N,8/12/2021,18166,10=14, 19.68 
52,KCY 318N,8/12/2021,18114,0-3, 21.04 
53,KCY 318N,8/12/2021,18139,10=14, 19.58 
54,KCY 318N,8/12/2021,18202,10=14, 19.20 
55,KBZ 301S,8/11/2021,18032,0-40, 22.08 
56,KBZ 301S,8/11/2021,17980,0-40, 20.90 
