,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBL 548A,8/20/2021,19736,5-10, 22.36 
2,KBL 548A,8/21/2021,19786,0-40, 25.08 
3,KBL 548A,8/21/2021,19767,0-40, 24.94 
4,KAT 901C,8/20/2021,19636,14-20, 20.08 
5,KDB 293W,8/19/2021,19485,14-20, 21.74 
6,KBL 548A,8/19/2021,19459,14-20, 21.66 
7,KDB 072T,8/20/2021,19724,5-10, 20.64 
8,KDB 204L,8/20/2021,19719,5-10, 24.76 
9,KDB 293W,8/20/2021,19567,0-3, 22.46 
10,KAT 901C,8/20/2021,19685,0-40, 20.00 
11,KAT 901C,8/20/2021,19653,0-40, 20.06 
12,KDB 293W,8/20/2021,19519,0-40, 23.00 
13,KDB 293W,8/20/2021,19493,0-40, 22.84 
14,KCX 069Q,8/20/2021,19670,0-40, 24.56 
15,KCX 069Q,8/20/2021,19640,0-40, 22.98 
16,KDB 072T,8/20/2021,19812,0-40, 24.08 
17,KDB 072T,8/20/2021,19749,0-40, 24.36 
18,KDB 072T,8/21/2021,19769,0-40, 21.10 
19,KDB 204L,8/21/2021,19607,0-40, 22.50 
20,KDB 204L,8/21/2021,19766,0-40, 24.22 
21,KDB 204L,8/20/2021,19762,0-40, 24.48 
22,KBL 548A,8/20/2021,19524,0-40, 24.00 
23,KBL 548A,8/20/2021,19469,0-40, 24.20 
24,KDB 235Q,8/20/2021,19703,0-40, 19.98 
25,KDB 235Q,8/20/2021,19735,5-10, 19.72 
26,KDB 235Q,8/20/2021,19617,14-20, 17.52 
27,KDB 226Q,8/20/2021,19707,0-40, 19.76 
28,KDB 226Q,8/20/2021,19816,14-20, 17.36 
29,KDB 226Q,8/20/2021,19746,5-10, 17.98 
30,KDB 235Q,8/20/2021,19664,0-40, 19.88 
