,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDD 103R,9/12/2021,25535,0-40, 25.40 
2,KDD 103R,9/12/2021,25587,0-40, 21.90 
3,KDD 103R,9/12/2021,25513,0-40, 23.86 
4,KDD 103R,9/11/2021,25490,20-31.5, 19.20 
5,KDD 103R,9/11/2021,25463,0-3, 19.42 
6,KDD 106X,9/12/2021,25549,0-40, 23.64 
7,KDD 106X,9/12/2021,25529,0-40, 25.30 
8,KCZ 278W,9/12/2021,25560,0-40, 22.98 
9,KCY 318N,9/11/2021,25484,20-31.5, 19.90 
10,KCY 318N,9/11/2021,25454,0-40, 20.56 
11,KCZ 278W,9/12/2021,25546,0-40, 24.54 
12,KCZ 278W,9/12/2021,25527,0-40, 19.78 
13,KDB 204L,9/11/2021,25428,0-6, 22.92 
14,KDB 204L,9/11/2021,25300,0-6, 21.36 
15,KDB 072T,9/11/2021,25405,0-6, 22.28 
16,KDB 204L,9/11/2021,25382,0-6, 23.00 
17,KBN 564V,9/11/2021,25377,3-10, 17.76 
18,KDB 204L,9/11/2021,25385,0-6, 23.54 
19,KDB 204L,9/11/2021,25335,0-6, 23.26 
20,KCY 318N,9/11/2021,25334,3-10, 17.16 
21,KCY 318N,9/11/2021,25299,0-3, 19.18 
22,KCY 318N,9/11/2021,25372,3-10, 16.40 
23,KCY 318N,9/11/2021,25409,5-10, 18.12 
24,KDB 072T,9/11/2021,25374,0-6, 20.52 
25,KDB 072T,9/11/2021,25301,0-6, 21.68 
26,KDB 072T,9/11/2021,25339,0-6, 22.80 
27,KBN 564V,9/11/2021,25337,0-3, 18.28 
