,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCW 065A,8/23/2021,20442,0-40, 20.44 
2,KCX 069Q,8/23/2021,20441,0-40, 22.94 
3,KDB 204L,8/22/2021,20243,0-40, 22.88 
4,KDB 204L,8/23/2021,20324,3-10, 22.92 
5,KDB 204L,8/23/2021,20298,0-40, 24.82 
6,KDB 204L,8/23/2021,20310,3-10, 20.42 
7,KDB 072T,8/22/2021,20216,0-40, 19.28 
8,KDB 072T,8/22/2021,20253,0-40, 19.62 
9,KDB 072T,8/23/2021,20283,0-40, 17.86 
10,KDB 072T,8/22/2021,20202,3-10, 17.24 
11,KDB 072T,8/23/2021,20309,3-10, 18.42 
12,KDB 204L,8/23/2021,20431,0-40, 25.34 
13,KDB 204L,8/23/2021,20453,0-40, 24.20 
14,KDB 072T,8/23/2021,20428,0-40, 21.56 
15,KAT 901C,8/23/2021,20455,0-40, 19.18 
16,KAT 901C,8/23/2021,20426,0-40, 19.80 
17,KAT 901C,8/23/2021,20398,14-20, 16.86 
18,KAT 901C,8/23/2021,20375,0-3, 17.74 
19,KCE 250G,8/24/2021,20536,3-10, 21.82 
20,KCE 250G,8/24/2021,20584,3-10, 22.48 
21,KCE 250G,8/23/2021,20510,14-20, 22.08 
22,KBL 548A,8/21/2021,19958,0-40, 27.10 
23,KBL 548A,8/22/2021,20058,0-40, 23.08 
24,KBL 548A,8/22/2021,20024,0-40, 24.90 
