,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 224N,9/14/2021,26172,0-6, 23.06 
2,KDB 224N,9/20/2021,27665,0-40, 22.04 
3,KDB 224N,9/19/2021,27636,3-10, 22.10 
4,KDB 224N,9/19/2021,27601,3-10, 19.90 
5,KDB 224N,9/19/2021,27617,0-3, 23.02 
6,KDB 224N,9/19/2021,27524,20-31.5, 18.32 
7,KDB 224N,9/19/2021,27571,3-10, 18.96 
8,KDB 224N,9/18/2021,27448,10-14, 19.82 
9,KDB 224N,9/17/2021,27204,0-3, 19.40 
10,KDB 224N,9/19/2021,27494,3-10, 19.64 
11,KDB 224N,9/18/2021,27426,10-14, 20.84 
12,KDB 224N,9/17/2021,27252,3-10, 20.54 
13,KDB 224N,9/18/2021,27265,3-10, 19.60 
14,KDD 103R,9/19/2021,27484,3-10, 17.90 
15,KDD 106X,9/19/2021,27481,3-10, 19.74 
16,KDD 244Z,9/14/2021,26103,0-40, 28.54 
17,KDD 244Z,9/14/2021,26135,0-40, 29.50 
18,KBR 280S,9/20/2021,27696,0-40, 20.40 
19,KDC 388X,9/19/2021,27606,0-3, 23.08 
20,KDC 388X,9/19/2021,27495,3-10, 19.60 
21,KDC 388X,9/19/2021,27529,20-31.5, 19.20 
22,KDC 388X,9/18/2021,27447,10-14, 21.66 
23,KDC 388X,9/18/2021,27354,20-31.5, 21.68 
24,KDC 388X,9/18/2021,27389,10-14, 20.44 
25,KDC 388X,9/18/2021,27372,20-31.5, 19.52 
26,KDC 388X,9/18/2021,27418,10-14, 21.04 
27,KDC 388X,9/19/2021,27591,3-10, 20.86 
28,KBR 280S,9/20/2021,27698,3-10, 20.46 
29,KDD 098W,9/19/2021,27587,20-31.5, 18.26 
30,KDD 098W,9/19/2021,27474,3-10, 17.04 
31,KDD 098W,9/19/2021,27534,20-31.5, 18.24 
32,KDD 098W,9/19/2021,27589,3-10, 18.02 
33,KDD 098W,9/19/2021,27506,3-10, 17.66 
