,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 204L,8/24/2021,20855,0-40, 24.06 
2,KDB 204L,8/24/2021,20641,0-40, 24.34 
3,KDB 072T,8/24/2021,20681,0-40, 23.10 
4,KDB 072T,8/24/2021,20654,0-40, 22.20 
5,KDB 072T,8/24/2021,20597,0-5, 22.02 
6,KDB 072T,8/24/2021,20639,0-40, 21.84 
7,KAT 901C,8/24/2021,20689,0-40, 21.24 
8,KAT 901C,8/24/2021,20685,0-40, 21.10 
9,KAT 901C,8/24/2021,20642,0-40, 18.14 
10,KAT 901C,8/24/2021,20614,0-5, 17.70 
11,KAT 901C,8/24/2021,20499,14-20, 17.90 
12,KAT 901C,8/23/2021,20473,20-31.5, 18.68 
13,KDB 072T,8/24/2021,20563,3-10, 19.20 
14,KDB 072T,8/23/2021,20474,20-31.5, 21.82 
15,KDB 204L,8/24/2021,20560,3-10, 21.60 
16,KDB 204L,8/24/2021,20575,3-10, 24.24 
17,KDB 204L,8/23/2021,20517,14-20, 20.72 
18,KDB 204L,8/23/2021,20495,20-31.5, 22.46 
19,KDB 204L,8/24/2021,20540,3-10, 23.42 
20,KDB 072T,8/24/2021,20545,3-10, 19.96 
21,KDB 072T,8/25/2021,20609,3-10, 23.62 
22,KDB 204L,8/24/2021,20756,3-10, 23.00 
23,KDB 204L,8/25/2021,20796,3-10, 21.88 
24,KDB 204L,8/24/2021,20731,3-10, 25.48 
25,KDB 204L,8/25/2021,20779,3-10, 21.44 
26,KDB 072T,8/24/2021,20734,3-10, 22.32 
27,KDB 072T,8/23/2021,20501,14-20, 20.22 
28,KDB 072T,8/23/2021,,, 19.90 
