,Veh. Reg,Date,Del. No,Specifications,Tonagge,
1,KDB 072T,8/29/2021,21854,10-14, 18.16 ,
2,KDB 072T,8/29/2021,21878,14-20, 21.60 ,
3,KDB 072T,8/30/2021,21921,3-10, 21.24 ,
4,KDB 072T,8/30/2021,21899,3-10, 21.36 ,
5,KDB 072T,8/30/2021,21942,3-10, 18.38 ,
6,KCE 250G,8/29/2021,21823,0-6, 21.50 ,
7,KCE 250G,8/30/2021,21980,0-6, 23.60 ,
8,KCE 250G,8/30/2021,21681,14-20, 23.82 ,
9,KCE 250G,8/29/2021,21844,10-14, 20.52 ,
10,KDB 204T,8/29/2021,21717,0-6, 24.90 ,
11,KDB 204T,8/29/2021,21734,0-6, 25.66 ,
12,KDB 204T,8/29/2021,21758,0-6, 26.54 ,
13,KDB 204T,9/29/2021,21763,0-6, 29.04 ,
14,KDB 204T,8/30/2021,21934,3-10, 21.44 ,
15,KBB 772L,8/28/2021,21420,20-31.5, 24.62 ,
16,KBB 772L,8/28/2021,21449,3-10, 23.60 ,
