,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDC 255G,9/3/2021,22948,0-6, 19.30 
2,KDC 255G,9/3/2021,22963,0-6, 18.80 
3,KDC 255G,9/3/2021,22980,0-6, 13.20 
4,KDC 255G,9/3/2021,23005,0-6, 17.80 
5,KDC 255G,9/3/2021,22921,0-6, 20.50 
6,KDC 255G,9/3/2021,22928,0-6, 18.90 
7,KDB 072T,8/3/2021,23019,0-6, 21.75 
8,KDB 072T,9/3/2021,23050,0-6, 23.50 
9,KDB 072T,9/3/2021,22932,0-6, 24.00 
10,KDB 072T,9/3/2021,22959,0-6, 23.80 
11,KDB 072T,9/3/2021,22990,0-6, 21.50 
12,KCW 976E,9/3/2021,22361,0-40, 22.44 
13,KCW 976E,8/31/2021,22355,0-40, 21.50 
14,KCW 976E,9/1/2021,22436,0-40, 22.96 
15,KCA 308J,8/1/2021,22594,0-6, 32.02 
16,KCE 343Y,9/1/2021,22616,0-6, 37.10 
17,KCE 343Y,9/1/2021,22556,0-6, 49.42 
18,KCA 308J,9/1/2021,22557,0-6, 32.70 
19,KCP 026Z,9/2/2021,22795,0-6, 20.20 
20,KCP 026Z,9/2/2021,22697,0-6, 17.02 
21,KCP 026Z,9/2/2021,22707,3-10, 17.68 
22,KCP 026Z,9/2/2021,22763,0-6, 21.60 
23,KCW 976E,9/2/2021,22672,3-10, 19.48 
24,KCW 976E,9/2/2021,22711,3-10, 20.36 
25,KCW 976E,9/2/2021,22694,3-10, 22.38 
26,KCW 976E,9/2/2021,22737,0-5, 21.82 
27,KCP 026Z,9/3/2021,22946,0-6, 21.00 
28,KCP 026Z,9/3/2021,23002,0-6, 19.10 
29,KCP 026Z,9/3/2021,22974,0-6, 21.20 
30,KBP 136Q,9/3/2021,44442,14-20, 25.46 
