,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBR 280S,8/11/2021,17662,5-10, 18.24 
2,KBR 280S,8/11/2021,17645,5-10, 17.96 
3,KBR 280S,8/11/2021,17853,5-10, 19.76 
4,KBR 280S,8/10/2021,17828,5-10, 18.22 
5,KBR 280S,8/10/2021,17834,5-10, 17.96 
6,KBR 280S,8/11/2021,17867,5-10, 18.66 
7,KDB 153Q,8/10/2021,17810,0-40, 22.32 
8,KDB 153Q,8/10/2021,17794,14-20, 18.56 
9,KDB 153Q,8/10/2021,17776,0-3, 19.68 
10,KDB 153Q,8/10/2021,17823,0-40, 20.48 
11,KDB 293W,8/10/2021,17749,0-3, 17.24 
12,KDB 293W,8/10/2021,17783,14-20, 18.72 
13,KDB 293W,8/10/2021,17770,0-3, 17.50 
14,KDB 293W,8/10/2021,17793,14-20, 19.40 
15,KDB 293W,8/10/2021,17836,5-10, 17.44 
16,KDB 293W,8/11/2021,17847,5-10, 20.96 
17,KDB 293W,8/11/2021,17858,5-10, 21.60 
18,KDB 293W,8/10/2021,17827,5-10, 20.94 
19,KBQ 469P,8/10/2021,17813,0-40, 17.78 
20,KBQ 469P,8/10/2021,17798,14-20, 17.66 
21,KBQ 469P,8/10/2021,17771,14-20, 17.06 
22,KBR 280S,8/10/2021,17766,0-3, 19.96 
23,KBR 280S,8/10/2021,17788,14-20, 18.80 
24,KBR 280S,8/10/2021,17777,14-20, 18.84 
25,KBR 280S,8/10/2021,17804,14-20, 19.46 
26,KBR 280S,8/10/2021,17816,14-20, 22.62 
27,KBR 280S,8/10/2021,17758,0-3, 18.44 
28,KBP 188C,8/10/2021,17812,0-40, 34.80 
29,KBP 188C,8/10/2021,17796,14-20, 30.14 
30,KAT 901C,8/10/2021,17815,0-40, 19.92 
31,KAT 901C,8/10/2021,17767,14-20, 18.00 
32,KAT 901C,8/10/2021,17805,14-20, 18.20 
33,KAT 901C,8/10/2021,17775,0-3, 19.68 
34,KAT 901C,8/10/2021,17762,0-3, 18.60 
35,KAT 901C,8/10/2021,17818,0-3, 18.36 
36,KBP 188C,8/10/2021,17842,5-10, 30.46 
37,KBP 188C,8/10/2021,17829,5-10, 27.88 
38,KBP 188C,8/10/2021,17856,5-10, 31.80 
39,KDB 072T,8/10/2021,17859,5-10, 19.20 
40,KDB 072T,8/10/2021,17838,5-10, 19.94 
41,KDB 072T,8/11/2021,17849,5-10, 19.78 
42,KDB 072T,8/10/2021,17830,5-10, 21.20 
43,KDB 927B,8/10/2021,17764,14-20, 15.66 
44,KDB 927B,8/10/2021,17746,0-3, 17.78 
45,KCN 957E,8/11/2021,17661,5-10, 21.10 
46,KCN 957E,8/10/2021,17825,5-10, 19.34 
47,KCN 957E,8/10/2021,17839,5-10, 18.98 
48,KCN 957E,8/11/2021,17850,5-10, 18.66 
49,KCH 846B,8/8/2021,17501,0-3(21), 16.92 
50,KDB 072T,8/10/2021,17755,0-3, 20.30 
51,KDB 072T,8/10/2021,17769,14-20, 18.76 
52,KDB 072T,8/10/2021,17799,14-20, 19.34 
53,KDB 072T,8/10/2021,17762,14-20, 21.00 
54,KDB 204L,8/10/2021,17761,0-3, 24.16 
55,KDB 204L,8/10/2021,17774,0-3, 21.30 
56,KDB 204L,8/10/2021,17785,0-3, 22.80 
57,KDB 204L,8/10/2021,17803,0-3, 23.44 
58,KCY 273A,8/10/2021,17848,5=10, 18.54 
59,KCY 273A,8/10/2021,17837,5=10, 19.26 
60,KCY 273A,8/10/2021,17855,5=10, 20.16 
61,KCY 273A,8/10/2021,17668,5=10, 18.08 
