,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 204L,8/27/2021,21395,14-20, 20.26 
2,KDB 204L,8/28/2021,21423,3-10, 21.86 
3,KDB 204L,7/28/2021,21463,14-20, 21.82 
4,KDB 204L,8/28/2021,21445,3-10, 22.72 
5,KDB 072T,8/29/2021,21450,3-10, 18.24 
6,KDB 072T,8/28/2021,21467,14-20, 21.06 
7,KDB 072T,8/28/2021,21432,3-10, 19.46 
8,KDB 072T,8/27/2021,21381,14-20, 18.12 
9,KBP 138Q,8/25/2021,20924,3-10, 22.62 
10,KBP 138Q,8/25/2021,20762,3-10, 24.26 
11,KDB 072T,8/27/2021,21347,0-40, 23.78 
12,KDB 072T,8/27/2021,21317,0-40, 23.08 
13,KDB 072T,8/27/2021,21302,0-5, 24.48 
14,KDB 072T,8/27/2021,21263,0-5, 22.32 
15,KDB 204L,8/27/2021,21269,0-5, 24.86 
16,KDB 204L,8/27/2021,21286,0-5, 24.78 
17,KDB 204L,8/27/2021,21307,0-5, 25.50 
18,KDB 204L,8/27/2021,21320,0-40, 25.14 
19,KDB 204L,8/27/2021,21346,0-40, 24.88 
20,KAT 901C,8/25/2021,20972,14-20, 20.42 
21,KAT 901C,8/27/2021,21335,0-40, 20.30 
