,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 072T,8/26/2021,21048,3-10, 19.12 
2,KAT 901C,8/25/2021,20931,0-40, 18.72 
3,KAT 901C,8/25/2021,20949,14-20, 18.08 
4,KAT 901C,8/25/2021,20914,0-40, 19.72 
5,KAT 901C,8/25/2021,20896,3-10, 18.28 
6,KCE 250G,8/25/2021,20743,3-10, 22.72 
7,KCE 250G,8/25/2021,20775,3-10, 22.42 
8,KCE 250G,8/25/2021,20685,3-10, 20.02 
9,KCE 250G,8/25/2021,20800,3-10, 21.66 
10,KDB 072T,8/25/2021,20981,14-20, 19.78 
11,KDB 072T,8/25/2021,21003,14-20, 20.02 
12,KDB 072T,8/25/2021,20982,14-20, 20.76 
13,KDB 072T,8/26/2021,21021,3-10, 19.82 
14,KBL 584A,8/23/2021,20479,20-31.5, 22.72 
15,KBL 584A,8/24/2021,20531,3-10, 22.94 
16,KBL 584A,8/24/2021,20558,3-10, 22.00 
17,KBL 584A,8/23/2021,20508,14-20, 20.10 
