,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDD 098W,9/11/2021,25250,5-10, 17.10 
2,KDD 098W,9/11/2021,25229,5-10, 18.98 
3,KDD 098W,9/10/2021,25144,0-40, 21.96 
4,KDD 098W,9/10/2021,25178,10-14, 19.74 
5,KDD 098W,9/10/2021,25204,10-14, 19.44 
6,KDD 103R,9/11/2021,25280,5-10, 18.84 
7,KDD 103R,9/10/2021,25199,10-14, 18.78 
8,KDD 103R,9/11/2021,25282,5-10, 18.34 
9,KDD 103R,9/11/2021,25242,5-10, 17.88 
10,KDC 106S,9/10/2021,25158,0-40, 23.84 
11,KDC 106S,9/9/2021,24820,0-40, 25.72 
12,KDB 293W,9/10/2021,25112,0-40, 26.26 
13,KDB 293W,9/10/2021,25089,0-40, 25.62 
14,KDB 293W,9/10/2021,25033,20-31.5, 21.36 
15,KDB 293W,9/10/2021,24990,0-3, 20.72 
16,KAT 901C,9/10/2021,25059,0-40, 21.24 
17,KAT 901C,9/10/2021,25103,0-40, 23.12 
18,KAT 901C,9/10/2021,25032,20-31.5, 19.46 
19,KAT 901C,9/10/2021,24992,20-31.5, 20.34 
20,KDD 098W,9/10/2021,25064,0-40, 20.00 
21,KDD 098W,9/10/2021,25015,20-31.5, 15.38 
22,KDD 098W,9/10/2021,24973,0-3, 20.16 
23,KDD 098W,9/10/2021,25110,0-40, 23.48 
