,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCE 250G,8/28/2021,21430,3-10, 20.14 
2,KCE 250G,8/28/2021,21452,3-10, 21.08 
3,KCE 250G,8/28/2021,21602,3-10, 24.62 
4,KDC 255G,8/27/2021,21316,0-40, 22.46 
5,KDC 255G,8/27/2021,21406,20-31.5, 23.68 
6,KDC 255G,8/27/2021,21366,0-40, 21.46 
7,KDC 255G,8/27/2021,21387,14-20, 22.70 
8,KDC 255G,8/27/2021,21340,0-40, 21.26 
9,KDB 072T,8/28/2021,21572,0-6, 24.10 
10,KDB 072T,8/28/2021,21520,0-6, 23.60 
11,KDB 072T,8/28/2021,21490,0-6, 21.98 
12,KDB 072T,8/28/2021,21543,0-6, 23.80 
13,KDB 072T,8/28/2021,21472,0-6, 23.12 
14,KDB 204L,8/28/2021,21493,0-6, 27.42 
15,KDB 204L,8/28/2021,21517,0-6, 26.50 
16,KDB 204L,8/28/2021,21545,0-6, 25.58 
17,KDB 204L,8/28/2021,21573,0-6, 27.60 
18,KDB 204L,8/28/2021,21469,0-6, 26.72 
