,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBZ 917G,9/12/2021,25699,0-40, 19.72 
2,KBZ 917G,9/12/2021,25481,20-31.5, 18.08 
3,KBZ 917G,9/12/2021,25729,0-3, 20.94 
4,KBZ 917G,9/12/2021,25755,10-14, 17.08 
5,KBZ 917G,9/13/2021,25786,10-14, 19.34 
6,KDD 103R,9/13/2021,25806,3-10, 19.44 
7,KDD 103R,9/13/2021,25788,10-14, 19.04 
8,KDC 106S,9/13/2021,25809,3-10, 22.40 
9,KDC 106S,9/12/2021,25713,0-40, 23.80 
10,KDC 106S,9/12/2021,25743,10-14, 20.54 
11,KDC 106S,9/12/2021,25773,10-14, 22.18 
12,KDC 106S,9/12/2021,25792,3-10, 22.80 
13,KDC 106S,9/12/2021,25821,3-10, 22.12 
14,KDD 106X,9/12/2021,25585,0-40, 24.50 
15,KDD 106X,9/12/2021,25816,3-10, 21.58 
16,KDD 106X,9/12/2021,25781,10-14, 19.64 
17,KDD 106X,9/12/2021,25782,10-14, 20.54 
18,KDD 106X,9/13/2021,25800,3-10, 21.28 
19,KDB 293W,9/13/2021,25778,10-14, 21.76 
20,KDB 293W,9/12/2021,25739,0-3, 21.12 
21,KDB 293W,9/13/2021,25795,3-10, 23.02 
22,KDB 293W,9/12/2021,25758,10-14, 21.38 
23,KDB 293W,9/13/2021,25811,3-10, 23.62 
24,KDB 293W,9/13/2021,25820,3-10, 22.80 
25,KCY 318N,9/13/2021,25794,3-10, 19.04 
26,KCY 318N,9/13/2021,25814,3-10, 20.54 
27,KCY 318N,9/12/2021,25718,0-40, 18.32 
28,KCY 318N,9/13/2021,25826,3-10, 20.12 
29,KDB 231N,9/13/2021,25784,10-14, 23.44 
30,KDB 231N,9/13/2021,25802,3-10, 24.96 
31,KDB 231N,9/13/2021,25818,3-10, 24.50 
32,KDB 231N,9/12/2021,25737,0-3, 23.62 
33,KDB 231N,9/12/2021,25762,10-14, 24.40 
34,KDB 204L,9/12/2021,25601,5-10, 21.28 
35,KDB 204L,9/12/2021,25631,5-10, 23.12 
36,KDB 204L,9/12/2021,25663,0-40, 27.48 
37,KDB 204L,9/12/2021,25692,0-40, 27.74 
38,KCY 318N,9/12/2021,25519,0-40, 24.54 
39,KBN 564V,9/11/2021,25471,5-10, 17.02 
40,KCY 318N,9/12/2021,25898,0-40, 22.00 
41,KCY 318N,9/12/2021,25675,0-40, 20.60 
42,KDB 244Z,9/12/2021,25688,0-40, 24.00 
43,KDB 244Z,9/12/2021,25859,0-40, 23.24 
44,KDB 244Z,9/12/2021,25626,5-10, 19.92 
45,KDD 103R,9/12/2021,25612,5-10, 17.40 
46,KDD 103R,9/12/2021,25641,5-10, 19.04 
47,KDD 103R,9/12/2021,25693,0-40, 21.90 
48,KDD 103R,9/12/2021,25667,0-40, 23.38 
49,KDD 106X,9/12/2021,25664,0-40, 22.46 
50,KDD 106X,9/12/2021,25625,5-10, 18.10 
51,KDD 106X,9/12/2021,25691,0-40, 22.14 
52,KDD 106X,9/12/2021,25595,5-10, 17.34 
53,KCJ 351X,9/10/2021,25168,0-3, 21.88 
54,KCW 976E,9/6/2021,23743,3-10, 19.62 
55,KCW 976E,9/6/2021,23778,0-40, 22.26 
56,KCW 976E,9/6/2021,23814,0-40, 21.22 
57,KCW 976E,9/6/2021,23907,20-31.5, 19.66 
58,KCW 976E,9/7/2021,24010,3-10, 20.02 
59,KCW 976E,9/7/2021,23985,3-10, 19.50 
60,KCW 976E,9/7/2021,23933,3-10, 19.92 
61,KCW 976E,9/8/2021,24491,0-40, 22.58 
62,KCW 976E,9/8/2021,24454,0-40, 20.42 
63,KCW 976E,9/8/2021,24407,10-14, 16.68 
64,KDC 005L,9/8/2021,24818,5-10, 31.32 
65,KCW 976E,9/9/2021,24794,0-40, 20.82 
66,KCW 976E,9/10/2021,25013,20-31.5, 17.44 
67,KCW 976E,9/10/2021,25194,10-14, 19.68 
68,KCW 976E,9/10/2021,24962,5-10, 19.64 
69,KCW 976E,9/11/2021,25220,5-10, 19.38 
70,KCW 976E,9/11/2021,25244,5-10, 19.20 
71,KCW 976E,9/11/2021,25418,5-10, 18.12 
72,KCW 976E,9/11/2021,25375,3-10, 17.84 
73,KCW 976E,9/11/2021,25284,5-10, 19.24 
74,KCW 976E,9/11/2021,25340,3-10, 19.76 
75,KCW 976E,9/12/2021,25838,5-10, 19.84 
76,KCW 976E,9/12/2021,25547,0-40, 24.58 
77,KCW 976E,9/12/2021,25589,5-10, 19.08 
78,KCW 976E,9/12/2021,25569,0-40, 22.74 
