,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDC 062G,8/3/2021,16678,0-40,18.82
2,KBY 166H,8/4/2021,16907,0-40,18.74
3,KCD 261V,8/4/2021,16698,0-40,15.68
4,KBQ 469P,8/4/2021,16661,0-40,17.52
5,KBQ 469P,8/4/2021,16825,0-40,18.8
6,KBQ 469P,8/4/2021,16790,0-40,17.76
7,KBR 280S,8/5/2021,17088,0-40,18.8
8,KBR 280S,8/5/2021,17043,0-40,18.82
9,KBR 280S,8/5/2021,17069,0-40,18.98
10,KBQ 360C,8/5/2021,17012,0-40,13.1
11,KBQ 360C,8/5/2021,17040,0-40,15.76
12,KBQ 360C,8/5/2021,17091,0-40,15.12
13,KAT 901C,8/5/2021,17065,0-40,17.98
14,KAT 901C,8/5/2021,17085,0-40,19.3
15,KAT 901C,8/5/2021,17008,0-40,18.86
16,KAT 901C,8/5/2021,16992,0-40,17.94
17,KAT 901C,8/5/2021,17045,0-40,18.3
18,KAT 901C,8/5/2021,17033,0-40,18.8
19,KBQ 469P,8/5/2021,17011,0-40,16.48
20,KBQ 469P,8/5/2021,17050,0-40,17.8
21,KBQ 469P,8/5/2021,16993,0-40,17.46
22,KBQ 469P,8/5/2021,17073,0-40,18.18
23,KBQ 469P,8/5/2021,17089,0-40,18.44
24,KBZ 301S,8/4/2021,16831,0-40,21.62
