,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 204L,8/2/2021,22832,0-3, 24.98 
2,KDC 255G,8/2/2021,22729,0-6, 20.04 
3,KDC 255G,8/2/2021,22744,0-6, 19.72 
4,KDC 255G,8/2/2021,22756,0-6, 19.70 
5,KDC 255G,8/2/2021,22773,0-6, 20.60 
6,KDC 255G,8/2/2021,22767,0-6, 18.60 
7,KDC 255G,8/2/2021,22618,0-6, 23.60 
8,KDC 255G,8/2/2021,22602,0-6, 17.94 
9,KDC 255G,8/2/2021,22714,0-6, 19.00 
10,KCE 250G,8/2/2021,22663,0-40, 22.02 
11,KCE 250G,8/2/2021,22010,0-6, 23.20 
12,KCE 250G,8/2/2021,22074,0-6, 22.24 
13,KDB 072T,8/2/2021,22909,0-40, 23.28 
14,KDB 072T,8/2/2021,22716,0-6, 23.94 
15,KDB 072T,8/2/2021,22698,0-40, 21.68 
16,KDB 072T,8/2/2021,22677,0-40, 18.60 
17,KDB 072T,8/2/2021,22858,0-40, 24.66 
18,KDB 072T,8/2/2021,22844,0-3, 23.14 
19,KBN 554Y,8/2/2021,22799,0-6, 18.00 
20,KBN 554Y,8/2/2021,22765,0-5, 20.16 
21,KDB 204L,8/2/2021,22797,0-6, 25.40 
22,KDB 204L,8/2/2021,22715,0-6, 22.50 
23,KDB 204L,8/2/2021,22616,0-6, 25.20 
