,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCK 951K,7/8/2021,17513,0-3 (21), 16.94 
2,KCW 975E,7/8/2021,17499,0-3 (21), 17.42 
3,KCP 026Z,7/8/2021,17495,0-3 (21), 16.50 
4,KCE 683P,7/8/2021,17466,0-3 (21), 17.28 
5,KDA 189X,7/8/2021,17497,0-3 (21), 17.14 
6,KDA 189X,7/8/2021,17467,0-3 (21), 16.30 
7,KDB 293W,7/8/2021,17486,0-3, 16.52 
8,KDB 293W,7/8/2021,17452,0-3, 22.22 
9,KBR 280S,8/7/2021,17332,14-20, 17.70 
10,KBR 280S,8/8/2021,17418,20-31.5, 19.82 
11,KBR 280S,8/7/2021,17366,14-20, 17.50 
12,KBR 280S,8/8/2021,17405,20-31.5, 18.28 
13,KBR 280S,8/7/2021,17395,14-20, 18.40 
14,KCK 951K,7/8/2021,17415,20-31.5, 17.44 
15,KCK 951K,8/7/2021,17322,0-40, 18.16 
16,KCK 951K,8/7/2021,17367,14-20, 19.96 
17,KCK 951K,8/8/2021,17399,14-20, 18.88 
18,KCK 951K,8/7/2021,17394,14-20, 18.72 
19,KCK 951K,8/7/2021,17359,0-40, 19.22 
20,KBR 280S,8/9/2021,17565,20-31.5, 19.44 
21,KBR 280S,8/9/2021,17554,20-31.5, 18.78 
22,KBR 280S,8/8/2021,17516,0-3, 22.82 
23,KBQ 469P,8/8/2021,17487,5-10, 17.02 
24,KDC 084C,9/8/2021,17500,0-3 (21), 17.50 
25,KCH 846B,8/8/2021,17501,0-3 (21), 16.92 
26,KBQ 469P,9/8/2021,17548,14-20, 19.24 
27,KBR 280S,8/9/2021,17538,14-20, 18.14 
28,KBR 280S,8/9/2021,17573,20-31.5, 20.10 
29,KDC 572Y,8/8/2021,17508,0-3 (21), 15.70 
30,KDD 305F,8/8/2021,17509,0-3(21), 16.48 
31,KBX 100S,8/8/2021,17464,0-40, 19.32 
32,KBR 280S,7/8/2021,17525,14-20, 18.68 
33,KBQ 469P,8/8/2021,17521,0-3, 18.78 
34,KDB 104Z,8/8/2021,17476,0-3 (21), 17.54 
35,KDB 104Z,8/8/2021,17514,0-3(21), 17.48 
36,KBQ 469P,8/8/2021,17504,5-10, 17.26 
37,KBQ 469P,8/8/2021,17533,14-20, 18.80 
