,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 204L,8/26/2021,21025,3-10, 22.38 
2,KDB 204L,8/26/2021,21033,3-10, 25.60 
3,KDB 204L,8/26/2021,20961,14-20, 21.84 
4,KDB 204L,8/26/2021,21007,3-10, 23.14 
5,KDB 204L,8/26/2021,20985,14-20, 22.90 
6,KDB 072T,8/26/2021,21136,0-40, 21.94 
7,KDB 072T,8/26/2021,21118,0-40, 21.20 
8,KDB 072T,8/26/2021,21097,0-5, 20.88 
9,KDB 204L,8/26/2021,21158,0-40, 23.60 
10,KDB 204L,8/25/2021,21138,0-40, 24.54 
11,KDB 204L,8/26/2021,21119,0-40, 24.06 
12,KDB 204L,8/26/2021,21101,0-5, 24.16 
13,KDB 072T,8/26/2021,21165,0-40, 22.42 
14,KDB 072T,8/26/2021,21222,0-40, 21.52 
15,KDB 072T,8/27/2021,21239,0-40, 19.54 
16,KDB 072T,8/26/2021,21203,0-40, 20.40 
17,KCE 250G,8/27/2021,21236,0-40, 24.86 
18,KCE 250G,8/26/2021,21194,0-40, 24.92 
19,KCE 250G,8/27/2021,21254,0-40, 23.02 
20,KCE 250G,8/27/2021,21219,0-40, 23.82 
21,KDB 204L,8/27/2021,21228,0-40, 24.90 
22,KDB 204L,8/27/2021,21243,14-20, 23.52 
23,KDB 204L,8/27/2021,21258,0-40, 23.80 
24,KDB 204L,8/26/2021,21199,0-40, 24.22 
25,KDB 204L,8/27/2021,21213,0-40, 24.02 
