,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCG 095D,8/4/2021,16804,0-40, 16.36 
2,KBW 667X,8/4/2021,16803,0-40, 16.20 
3,KBW 667X,8/4/2021,16764,0-3, 17.12 
4,KBW 667X,8/4/2021,16637,0-40, 15.90 
5,KCW 077Y,8/4/2021,16829,0-40, 16.28 
6,KBY 166H,8/4/2021,16888,0-40, 20.96 
7,KCE 146S,8/4/2021,16812,0-40, 18.92 
8,KCE 146S,8/4/2021,16854,0-40, 17.04 
9,KCE 146S,8/4/2021,16886,0-40, 17.48 
10,KBY 166H,8/4/2021,16833,0-40, 20.64 
11,KDB 293W,8/4/2021,16864,0-40, 18.60 
12,KCD 261V,8/4/2021,16865,0-40, 18.76 
13,KAT 901C,8/4/2021,16844,0-40, 17.92 
14,KAT 901C,8/4/2021,16662,0-40, 19.98 
15,KAT 901C,8/4/2021,16606,0-40, 18.86 
16,KAT 901C,8/4/2021,16771,0-40, 19.10 
17,KBP 188C,8/4/2021,16766,0-40, 29.54 
18,KBP 188C,8/4/2021,16604,0-40, 31.98 
19,KBP 188C,8/4/2021,16826,0-40, 30.12 
20,KBP 188C,8/4/2021,16866,0-40, 29.86 
21,KCW 077Y,8/4/2021,16873,0-40, 16.50 
22,KCN 957E,8/4/2021,16650,0-40, 19.62 
23,KCN 957E,8/4/2021,16808,0-40, 23.56 
24,KAT 901C,8/3/2021,16603,5-10, 17.50 
25,KAT 901C,8/3/2021,16626,0-3, 18.46 
26,KAT 901C,8/3/2021,16646,0-40, 18.70 
27,KBQ 469P,8/3/2021,16609,5-10, 17.14 
28,KBQ 469P,8/3/2021,16837,0-3, 22.90 
29,KBQ 469P,8/3/2021,16671,0-40, 18.88 
30,KDB 293W,8/4/2021,16772,0-3, 18.88 
31,KBZ 301S,8/4/2021,16770,0-3, 21.50 
32,KDB 293W,8/4/2021,16753,0-40, 20.22 
33,KBR 280S,8/3/2021,16897,3-10, 18.02 
34,KBR 280S,8/4/2021,16734,0-40, 20.00 
35,KBR 280S,8/4/2021,16777,0-3, 19.38 
36,KBR 280S,8/4/2021,16610,0-40, 20.28 
37,KDB 293W,8/4/2021,16727,0-40, 19.42 
38,KDB 293W,8/4/2021,16739,0-40, 19.66 
39,KDB 293W,8/4/2021,16664,0-40, 20.52 
40,KBR 280S,8/4/2021,16933,20-31.5, 21.18 
41,KBR 280S,8/5/2021,16977,5-10, 18.08 
42,KBR 280S,7/4/2021,16915,20-31.5, 20.70 
43,KBR 280S,8/5/2021,16948,3-10, 19.92 
44,KBR 280S,8/5/2021,16985,5-10, 17.66 
45,KCN 957E,8/4/2021,16893,0-40, 21.60 
46,KDB 293W,8/3/2021,16838,10-14, 16.72 
47,KDB 293W,9/3/2021,16830,0-40, 19.58 
48,KDB 293W,9/3/2021,16802,0-40, 19.56 
49,KBR 280S,8/3/2021,16680,0-40, 19.42 
50,KBR 280S,8/3/2021,16718,3-10, 16.78 
51,KBR 280S,8/3/2021,16750,0-40, 20.46 
52,KDB 204L,8/4/2021,16823,20-31.5, 22.40 
53,KDB 204L,8/5/2021,16956,3-10, 21.78 
54,KDB 204L,8/5/2021,16974,5-10, 21.58 
55,KDB 204L,8/4/2021,16941,3-10, 24.42 
56,KDB 204L,8/3/2021,16874,0-40, 22.98 
57,KCW 077Y,8/4/2021,16902,0-40, 16.72 
58,KDB 072T,8/3/2021,16661,0-40, 19.96 
59,KDB 072T,8/5/2021,16949,3-10, 19.44 
60,KDB 072T,8/5/2021,16975,5-10, 19.52 
61,KDB 072T,8/4/2021,16926,20-31.5, 22.26 
62,KDB 072T,8/5/2021,16963,3-10, 21.34 
