,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBY 166H,8/9/2021,17603,0-40, 20.04 
2,KBY 166H,8/9/2021,17588,0-3, 22.36 
3,KBY 166H,8/9/2021,17618,0-40, 19.92 
4,KBY 166H,8/9/2021,17642,0-40, 22.52 
5,KBY 166H,8/9/2021,17670,0-40, 19.68 
6,KBY 166H,8/10/2021,17742,0-40, 20.78 
7,KBY 166H,8/9/2021,17705,0-40, 20.68 
8,KBY 166H,8/9/2021,17692,0-40, 19.38 
9,KBY 166H,8/9/2021,17729,0-40, 20.86 
10,KBY 166H,8/9/2021,17716,0-40, 20.90 
11,KDB 293W,8/9/2021,17604,0-40, 19.84 
12,KDC  008T,8/9/2021,17607,0-3, 24.80 
13,KCP 026Z,8/9/2021,17606,0-3, 17.46 
14,KBP 188C,8/9/2021,17696,10-14, 33.24 
15,KBP 188C,8/10/2021,17711,0-40, 30.18 
16,KBP 188C,8/10/2021,17730,0-40, 30.02 
17,KBP 188C,8/10/2021,17744,0-40, 33.16 
18,KDB 293W,8/9/2021,17677,0-40, 18.12 
19,KBR 280S,8/9/2021,17720,0-40, 19.26 
20,KBR 280S,8/9/2021,17740,0-40, 18.76 
21,KBR 280S,8/9/2021,17708,0-40, 19.60 
22,KDB 293W,8/9/2021,17657,0-40, 18.16 
23,KDB 293W,8/9/2021,17620,0-40, 18.34 
24,KDB 293W,8/9/2021,17641,0-40, 18.28 
25,KBQ 469P,8/9/2021,17605,0-40, 18.86 
26,KBQ 469P,8/9/2021,17655,0-40, 18.14 
27,KBQ 469P,8/9/2021,17622,0-40, 19.40 
28,KBQ 469P,8/9/2021,17675,0-40, 18.84 
29,KBR 280S,8/9/2021,17728,0-40, 19.90 
30,KAT 180C,8/10/2021,17645,0-40, 18.14 
31,KAT 180C,8/9/2021,17619,0-40, 19.76 
32,KAT 180C,8/9/2021,17595,0-40, 19.66 
33,KAT 180C,8/9/2021,17560,0-3, 19.10 
34,KBR 280S,8/9/2021,17631,0-40, 19.34 
35,KBR 280S,8/9/2021,17598,0-40, 21.08 
36,KBR 280S,8/9/2021,17585,0-40, 18.26 
37,KBR 280S,8/9/2021,17609,0-40, 21.48 
38,KBR 280S,8/9/2021,17652,0-40, 19.16 
39,KDD 184K,8/10/2021,17715,0-40, 20.46 
40,KDD 184K,8/9/2021,17701,0-40, 18.34 
41,KDD 184K,8/10/2021,17726,0-40, 18.78 
42,KDD 184K,8/9/2021,17880,0-40, 19.76 
43,KDD 184K,8/9/2021,17689,0-40, 19.60 
44,KDD 184K,8/9/2021,17615,0-40, 19.56 
45,KDD 184K,8/9/2021,17661,0-40, 19.42 
46,KDD 184K,8/9/2021,17736,0-40, 20.68 
47,KDD 184K,8/9/2021,17687,10-14, 19.62 
