,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KAT 901C,8/17/2021,18932,0-40, 20.76 
2,KAT 901C,8/17/2021,18966,0-40, 20.14 
3,KAT 901C,8/17/2021,18963,0-40, 20.24 
4,KAT 901C,8/17/2021,18910,0-3, 21.78 
5,KCE 250G,8/18/2021,19196,0-40, 26.16 
6,KAT 901C,8/17/2021,19010,0-40, 19.66 
7,KDB 468P,8/17/2002,18969,0-40, 18.68 
8,KDB 072T,8/18/2021,19143,5-10, 20.66 
9,KDB 072T,8/18/2021,19168,0-3, 22.32 
10,KDB 072T,8/18/2021,19085,0-3, 23.32 
11,KAT 901C,8/18/2021,19161,0-3, 18.92 
12,KAT 901C,8/18/2021,19185,0-40, 19.80 
13,KDB 072T,8/19/2021,19262,14-20, 21.58 
14,KDB 072T,8/19/2021,19242,3-10, 20.36 
15,KDB 072T,8/18/2021,19206,14-20, 20.86 
16,KDB 072T,8/19/2021,19250,3-10, 17.48 
17,KDB 072T,8/18/2021,19223,14-20, 22.84 
