,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KBR 280S,8/7/2021,17342,0-40, 18.44 
2,KBR 280S,8/7/2021,17316,0-40, 18.30 
3,KBR 280S,8/7/2021,17267,0-40, 17.78 
4,KCX 069Q,8/7/2021,17311,0-40, 22.30 
5,KAT 901C,8/7/2021,17326,0-40, 18.16 
6,KAT 901C,8/7/2021,17296,0-40, 18.60 
7,KAT 901C,8/7/2021,17272,0-3, 18.04 
8,KDA 189X,8/7/2021,17271,0-3, 19.42 
9,KBP 188C,8/7/2021,17268,0-3, 31.54 
10,KDA 189X,8/7/2021,17298,0-40, 19.70 
11,KDA 189X,8/7/2021,17329,0-40, 19.86 
12,KDB 204L,8/7/2021,17318,0-40, 20.06 
13,KDB 204L,8/7/2021,17358,0-40, 22.68 
14,KBQ 469P,8/7/2021,17314,0-40, 17.38 
15,KBQ 469P,8/7/2021,17345,0-40, 17.44 
16,KBQ 469P,8/7/2021,17275,0-40, 18.14 
17,KDB 293W,8/7/2021,17297,0-40, 21.54 
18,KDB 293W,8/7/2021,17269,0-3, 19.66 
19,KDB 293W,8/7/2021,17352,0-3, 18.82 
20,KBP 188C,8/7/2021,17301,0-40, 32.34 
21,KBP 188C,8/7/2021,17343,0-40, 31.40 
22,KBP 188C,8/7/2021,17456,0-40, 31.26 
23,KBP 188C,8/7/2021,17442,0-40, 32.34 
24,KCX 069Q,8/7/2021,17262,0-3, 20.56 
25,KBX 100S,8/7/2021,17340,0-40, 15.18 
26,KCN 957E,8/7/2021,17333,0-40, 19.20 
27,KCN 957E,8/7/2021,17309,0-40, 18.30 
28,KCN 957E,8/7/2021,17273,0-3, 19.14 
29,KCX 069Q,8/7/2021,17341,0-3, 23.18 
