,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCC 928E,8/11/2021,17995,5-10, 17.68 
2,KCY 318N,8/11/2021,18009,0-40, 19.54 
3,KCY 318N,8/11/2021,17969,0-40, 18.30 
4,KCY 318N,8/11/2021,17934,0-40, 17.52 
5,KCY 318N,8/11/2021,17890,0-40, 18.28 
6,KDB 072T,8/11/2021,17931,0-40, 19.88 
7,KDB 072T,8/11/2021,17696,0-40, 22.36 
8,KDB 072T,8/11/2021,17993,0-40, 20.72 
9,KDB 204L,8/11/2021,17923,0-40, 26.80 
10,KDB 204L,8/11/2021,17876,0-40, 25.30 
11,KCN 957E,8/11/2021,18001,0-40, 23.56 
12,KCN 957E,8/11/2021,17943,0-40, 21.66 
13,KCN 957E,8/11/2021,18048,0-40, 20.82 
14,KDB 293W,8/11/2021,18031,0-40, 19.78 
15,KDB 293W,8/11/2021,17994,0-40, 18.24 
16,KDB 204L,8/11/2021,18008,0-40, 25.42 
17,KDD 184K,8/11/2021,17779,14-20, 20.04 
18,KDD 184K,8/11/2021,17767,0-3, 19.10 
19,KDD 184K,8/11/2021,17797,14-20, 19.82 
20,KDC 084C,8/11/2021,17821,0-40, 20.74 
21,KDD 184K,8/11/2021,17811,0-40, 19.02 
22,KDD 184K,8/11/2021,17977,0-40, 18.44 
23,KDD 184K,8/11/2021,18024,0-40, 19.70 
24,KDD 184K,8/11/2021,17899,0-40, 18.36 
25,KDD 184K,8/11/2021,17832,0-40, 17.88 
26,KBQ 469P,8/11/2021,17999,0-40, 19.14 
27,KBQ 469P,8/11/2021,17951,0-40, 19.08 
28,KBQ 469P,8/11/2021,18047,0-40, 18.72 
29,KDB 153Q,8/11/2021,18028,0-40, 18.42 
30,KDB 153Q,8/11/2021,18051,0-40, 18.06 
